Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,LEF1,PARP1,ZEB1,SNAI1,HEY1,HEY2,EGR1,MYC,ENO1,CEBPA,JAK1,FGF4,PITX2,ATF1,PDGFRA,RB1,FOXA1,FOXA2,GATA3,C21orf33,MYB,IRF1,TBX21,VEGFA,TWIST1,YAP1,DLX5,TCF3,MYL1,MYOD1,PAX3,WWP1,SULT2A1,E2F1,RBL1,SIRT1,RBPJ,KDM1A,SMAD3,SMAD4,TERT,MAX,MTSS1,GLI1,EP300,EPAS1,ARNT,HIF1A,HDAC7,SEMA4A,SRPRA,EGFR,ATF3,PCBP4,ELK1,FOS,PLCG1,MYCBP,FOXP3,LONP1,AKT1,DAND5,ERAL1,JUN,JUND,YY1,IL27RA,LCK,JAK3,DVL3,SMARCA2,E2F4,SMARCA4,STK11,PTGDR2,KAT2A,FOXM1,TNIK,TRRAP,PCBP4,HNF1A,TLE1,AES,RELA,SKI,SIN3A,NCOR1,E2F6,HDAC1,EGR2,MAPK9,RNF128,EGR3,TGFB1,TCF4,ELF1,WT1,JUNB,NFATC2,IL27,IL27RA,JAK2,TYK2,PPARG,IL2RA,HDAC2,SMAD3,IL23R,SUPT7L,SPTLC3,TAF10,TAF12,EGF,NFX1,HDAC9,SRF,CREM,CREB1,PTPRH,CD4,EOMES,NFATC1,CALM3,TRBV20OR9-2,IL18,CD28,CD8A,TRIM28
E6.13.1392,E6.13,late_TE,49.45035619,Petropoulos2016,6.0,B,K09,0,752,0,0,2,0,0,444,13040,8,43,0,0,189,2,0,0,0,354,8,0,7,0,37,0,122,31,70,0,0,0,100,0,64,18,8,347,229,2,32,71,359,7,0,201,0,80,302,0,0,423,38,14,2,22,87,30,170,0,229,15,0,155,0,27,257,0,0,0,60,49,191,321,0,0,91,91,23,82,2,0,179,0,27,2,206,321,21,884,0,78,0,0,0,13,120,0,6,0,0,0,0,19,65,0,759,2,0,31,0,18,90,0,42,0,55,32,96,0,0,0,0,92,0,0,0,0,654
E6.13.1393,E6.13,late_TE,53.21027875,Petropoulos2016,6.0,B,K09,0,1267,0,34,1,0,0,773,24094,49,50,0,25,476,8,72,0,0,624,8,0,43,0,51,0,203,132,120,0,0,0,147,1,57,28,97,814,238,12,79,58,597,5,0,275,47,181,404,16,9,597,8,47,15,107,0,74,419,2,258,15,0,308,0,44,568,0,0,0,117,237,337,281,12,0,47,124,44,64,15,0,218,1,77,14,236,436,31,1213,0,45,0,0,0,6,166,0,14,0,0,0,10,62,178,0,1102,12,0,230,10,51,165,0,314,0,99,124,158,0,0,0,0,420,0,1,0,0,846
E6.13.1394,E6.13,late_TE,52.78788084,Petropoulos2016,6.0,B,K09,0,776,0,8,0,0,0,1732,18906,58,6,0,23,243,13,11,0,0,1139,8,0,1,0,127,0,206,591,235,0,0,0,127,0,21,36,90,488,432,88,174,65,400,4,0,316,6,83,341,0,0,425,0,83,0,39,0,148,429,0,453,24,0,335,0,100,429,0,0,0,237,458,294,486,24,0,108,152,52,200,0,0,317,0,48,4,357,592,41,1127,0,29,0,0,0,0,171,0,25,0,0,0,45,109,176,0,734,88,1,107,1,93,493,0,365,0,171,248,233,0,0,0,0,453,0,46,0,0,919
E6.13.1395,E6.13,late_TE,52.82270848,Petropoulos2016,6.0,B,K09,0,590,0,62,0,0,0,110,12732,26,11,0,20,218,3,0,0,0,725,4,0,0,0,17,0,274,255,65,0,0,0,44,0,113,0,53,733,155,0,162,34,283,0,0,323,19,171,254,0,0,581,0,0,0,33,0,88,138,0,242,49,0,79,0,18,289,0,0,0,188,496,281,256,5,0,0,91,46,164,0,0,48,7,159,38,176,143,23,731,0,0,0,0,0,7,97,0,19,1,0,0,5,127,303,0,845,0,0,72,0,43,127,0,194,0,94,115,103,0,0,0,0,120,0,0,0,0,1029
E6.13.1396,E6.13,late_TE,51.03482733,Petropoulos2016,6.0,B,K09,0,879,0,19,0,0,0,306,15521,57,47,0,16,236,0,31,0,1,869,5,0,7,0,20,0,167,10,132,0,0,0,103,0,71,48,210,464,228,0,218,126,377,43,0,242,10,166,260,10,0,400,0,54,27,6,0,110,293,0,410,42,0,105,6,35,681,0,0,0,54,84,306,319,24,0,110,154,146,113,27,0,337,0,164,12,149,589,17,796,0,93,0,0,3,57,70,0,20,0,0,0,0,20,34,0,762,0,0,158,0,64,207,0,205,0,94,224,140,0,0,0,0,401,0,0,0,0,1457
E6.13.1397,E6.13,late_TE,53.31037589,Petropoulos2016,6.0,B,K09,0,1597,0,53,20,1,3,560,26890,100,36,18,13,380,48,30,0,4,1013,9,0,32,0,95,0,194,180,201,0,4,0,163,43,38,28,39,600,352,0,48,58,540,13,0,494,9,55,429,0,0,501,21,22,0,96,45,61,241,0,365,49,0,435,0,43,367,8,0,0,107,182,267,586,11,0,165,227,51,37,0,0,525,13,133,77,266,354,19,1356,0,104,0,0,0,16,172,0,41,16,0,8,2,56,219,0,1086,0,0,226,0,53,174,0,159,0,104,128,180,0,0,0,0,398,0,11,0,0,1196
E6.13.1398,E6.13,late_TE,53.2660784,Petropoulos2016,6.0,B,K09,0,1255,0,86,0,0,0,633,31168,91,42,3,0,658,0,57,0,0,939,8,0,29,0,54,0,199,146,388,0,0,0,269,0,44,0,54,723,451,0,202,59,913,33,0,461,3,385,567,15,21,732,0,94,7,29,21,79,356,7,464,59,0,178,0,45,737,0,0,0,255,224,371,288,16,0,127,202,35,72,7,0,359,0,246,24,276,671,58,1452,0,135,0,0,0,9,241,0,2,5,0,0,1,65,239,0,1462,0,0,415,1,62,194,0,352,0,142,429,158,0,0,6,0,454,0,6,0,0,1062
E6.13.1399,E6.13,late_TE,53.41143622,Petropoulos2016,6.0,B,K09,0,980,0,8,0,0,1,247,25117,43,84,0,15,653,31,66,0,0,708,3,0,0,0,70,0,180,450,158,0,0,0,162,1,76,98,97,860,533,9,27,54,576,19,48,234,20,261,443,0,0,464,19,171,0,16,8,135,232,0,332,137,0,300,3,80,897,0,0,0,88,363,352,567,13,0,83,210,53,88,0,3,123,5,246,9,198,421,66,1624,0,63,0,0,3,0,238,0,12,1,0,0,11,86,96,0,1561,9,0,124,41,160,229,0,288,0,107,174,87,0,0,0,0,449,0,0,0,0,985
E6.13.1400,E6.13,late_TE,39.36506514,Petropoulos2016,6.0,B,K09,0,251,0,19,0,4,0,201,8519,54,8,1,3,83,2,4,0,0,205,2,0,6,0,18,0,58,84,154,0,0,0,14,0,31,0,8,97,112,4,10,30,178,11,0,167,31,32,37,13,1,179,1,17,9,17,0,45,34,1,197,27,0,96,0,10,79,0,0,0,40,47,116,158,6,0,30,80,5,42,9,0,89,15,57,8,21,88,8,314,7,19,0,0,2,5,32,0,20,0,0,0,1,33,11,0,153,4,0,90,0,23,28,0,50,0,53,42,8,0,0,0,0,184,0,0,0,0,671
E6.14.1403,E6.14,late_TE,52.93721266,Petropoulos2016,6.0,B,K09,0,382,0,28,0,0,0,176,8098,30,39,0,30,211,2,2,0,0,504,4,0,1,0,20,0,167,8,59,0,0,0,90,2,0,2,39,305,150,17,100,28,208,12,0,146,8,57,114,0,0,135,21,37,0,10,34,7,103,0,268,22,0,95,0,52,273,0,0,0,70,120,96,319,31,0,51,84,86,28,0,0,228,2,58,11,88,197,10,341,0,30,0,0,0,45,73,0,18,16,0,0,30,52,73,0,506,17,0,54,0,26,55,0,13,0,82,53,57,0,0,0,0,60,0,2,0,0,732
